step,time_s,KE_J,PE_J,Etot_J,T_kin_K,P_Pa
1360,1.360000000e-09,2.068737897e-16,-3.207821194e-22,2.068734689e-16,9.989205061e+03,1.379157526e-07
1370,1.370000000e-09,2.068738158e-16,-3.461213238e-22,2.068734696e-16,9.989206321e+03,1.379157617e-07
1380,1.380000000e-09,2.068738198e-16,-3.470001667e-22,2.068734728e-16,9.989206516e+03,1.379157640e-07
1390,1.390000000e-09,2.068737893e-16,-3.212939373e-22,2.068734680e-16,9.989205043e+03,1.379157518e-07
1400,1.400000000e-09,2.068738476e-16,-3.785712049e-22,2.068734690e-16,9.989207857e+03,1.379157721e-07
1410,1.410000000e-09,2.068739163e-16,-4.564128002e-22,2.068734599e-16,9.989211176e+03,1.379157967e-07
1420,1.420000000e-09,2.068738844e-16,-4.117435686e-22,2.068734727e-16,9.989209635e+03,1.379157859e-07
1430,1.430000000e-09,2.068739182e-16,-4.511711667e-22,2.068734670e-16,9.989211268e+03,1.379157969e-07
1440,1.440000000e-09,2.068738808e-16,-4.073724452e-22,2.068734734e-16,9.989209462e+03,1.379157848e-07
1450,1.450000000e-09,2.068738798e-16,-4.091826791e-22,2.068734707e-16,9.989209415e+03,1.379157834e-07
1460,1.460000000e-09,2.068738767e-16,-4.056052366e-22,2.068734711e-16,9.989209262e+03,1.379157825e-07
1470,1.470000000e-09,2.068738692e-16,-3.973597960e-22,2.068734719e-16,9.989208903e+03,1.379157802e-07
1480,1.480000000e-09,2.068738829e-16,-4.159286032e-22,2.068734670e-16,9.989209562e+03,1.379157830e-07
1490,1.490000000e-09,2.068739148e-16,-4.442707571e-22,2.068734705e-16,9.989211101e+03,1.379157951e-07
1500,1.500000000e-09,2.068739311e-16,-4.640250493e-22,2.068734671e-16,9.989211892e+03,1.379158002e-07
1510,1.510000000e-09,2.068739192e-16,-4.360047623e-22,2.068734832e-16,9.989211315e+03,1.379157994e-07
1520,1.520000000e-09,2.068739531e-16,-4.842238807e-22,2.068734689e-16,9.989212953e+03,1.379158074e-07
1530,1.530000000e-09,2.068739788e-16,-5.079417770e-22,2.068734709e-16,9.989214195e+03,1.379158168e-07
1540,1.540000000e-09,2.068739816e-16,-5.092640663e-22,2.068734723e-16,9.989214329e+03,1.379158188e-07
1550,1.550000000e-09,2.068739105e-16,-4.422290045e-22,2.068734683e-16,9.989210896e+03,1.379157913e-07
1560,1.560000000e-09,2.068739709e-16,-5.009177825e-22,2.068734699e-16,9.989213810e+03,1.379158137e-07
1570,1.570000000e-09,2.068740104e-16,-5.422472146e-22,2.068734682e-16,9.989215721e+03,1.379158293e-07
1580,1.580000000e-09,2.068739871e-16,-5.179731838e-22,2.068734692e-16,9.989214596e+03,1.379158191e-07
1590,1.590000000e-09,2.068740194e-16,-5.484047226e-22,2.068734710e-16,9.989216154e+03,1.379158306e-07
1600,1.600000000e-09,2.068740309e-16,-5.631399299e-22,2.068734677e-16,9.989216708e+03,1.379158344e-07
1610,1.610000000e-09,2.068740199e-16,-5.483038702e-22,2.068734716e-16,9.989216179e+03,1.379158310e-07
1620,1.620000000e-09,2.068740205e-16,-5.500526007e-22,2.068734705e-16,9.989216207e+03,1.379158305e-07
1630,1.630000000e-09,2.068739987e-16,-5.275473749e-22,2.068734711e-16,9.989215153e+03,1.379158233e-07
1640,1.640000000e-09,2.068739880e-16,-5.170553014e-22,2.068734709e-16,9.989214637e+03,1.379158196e-07
1650,1.650000000e-09,2.068739860e-16,-5.153608357e-22,2.068734706e-16,9.989214539e+03,1.379158187e-07
1660,1.660000000e-09,2.068739959e-16,-5.259455985e-22,2.068734699e-16,9.989215018e+03,1.379158218e-07
1670,1.670000000e-09,2.068739984e-16,-5.272459188e-22,2.068734712e-16,9.989215140e+03,1.379158231e-07
1680,1.680000000e-09,2.068739902e-16,-5.200617573e-22,2.068734702e-16,9.989214744e+03,1.379158200e-07
1690,1.690000000e-09,2.068740222e-16,-5.542523594e-22,2.068734680e-16,9.989216290e+03,1.379158302e-07
1700,1.700000000e-09,2.068740483e-16,-5.773942942e-22,2.068734709e-16,9.989217547e+03,1.379158400e-07
1710,1.710000000e-09,2.068740444e-16,-5.734432158e-22,2.068734709e-16,9.989217360e+03,1.379158385e-07
1720,1.720000000e-09,2.068740433e-16,-5.727902180e-22,2.068734705e-16,9.989217309e+03,1.379158380e-07
1730,1.730000000e-09,2.068740416e-16,-5.705718104e-22,2.068734710e-16,9.989217226e+03,1.379158375e-07
1740,1.740000000e-09,2.068740376e-16,-5.661507288e-22,2.068734714e-16,9.989217031e+03,1.379158362e-07
1750,1.750000000e-09,2.068740132e-16,-5.415498735e-22,2.068734717e-16,9.989215856e+03,1.379158280e-07
1760,1.760000000e-09,2.068739950e-16,-5.224324183e-22,2.068734725e-16,9.989214974e+03,1.379158206e-07
1770,1.770000000e-09,2.068740298e-16,-5.614872240e-22,2.068734683e-16,9.989216656e+03,1.379158319e-07
1780,1.780000000e-09,2.068740376e-16,-5.666688694e-22,2.068734709e-16,9.989217033e+03,1.379158359e-07
1790,1.790000000e-09,2.068740459e-16,-5.752431626e-22,2.068734706e-16,9.989217431e+03,1.379158388e-07
1800,1.800000000e-09,2.068740382e-16,-5.675068826e-22,2.068734707e-16,9.989217064e+03,1.379158361e-07
1810,1.810000000e-09,2.068740226e-16,-5.510289308e-22,2.068734716e-16,9.989216309e+03,1.379158312e-07
1820,1.820000000e-09,2.068740033e-16,-5.319936210e-22,2.068734713e-16,9.989215377e+03,1.379158247e-07
1830,1.830000000e-09,2.068739659e-16,-4.835653112e-22,2.068734823e-16,9.989213569e+03,1.379158132e-07
1840,1.840000000e-09,2.068739932e-16,-5.279457871e-22,2.068734653e-16,9.989214890e+03,1.379158189e-07
1850,1.850000000e-09,2.068740264e-16,-5.566863759e-22,2.068734697e-16,9.989216490e+03,1.379158321e-07
1860,1.860000000e-09,2.068740108e-16,-5.407394457e-22,2.068734700e-16,9.989215736e+03,1.379158268e-07
1870,1.870000000e-09,2.068739797e-16,-5.168267372e-22,2.068734628e-16,9.989214235e+03,1.379158127e-07
